job_id,first_seen_date,last_seen_date,title,company,location,is_remote,salary_min,salary_max,salary_currency,salary_period,salary_is_estimate,salary_raw,contract_type,contract_time,date_posted,source,url,description
a676ec282156b584,2026-08-20,2026-09-09,Data Engineer,Hydrogen Group,London,False,70000.0,100000.0,GBP,annual,False,,,,2026-07-29,Reed,https://www.reed.co.uk/jobs/data-engineer/57172637,"We're looking for experienced Data Engineers to join a high-profile data transformation programme that will shape the future of investment decision-making and regulatory reporting within a leading financial services organisation. This is an opportunity to work on a business-critical initiative that will transform how investment and portfolio data is managed, analysed and utilised across the..."
7743c59245c0c148,2026-08-20,2026-08-27,Senior Data Engineer,Ocho,"Ballymena, Northern Ireland",True,60000.0,60000.0,GBP,annual,False,,,,2026-07-28,Adzuna,https://www.adzuna.co.uk/jobs/land/ad/5818755869?se=OnCIDYCc8RGM_IndFT4icg&utm_medium=api&utm_source=jobaggregator&v=28E9B54581BEFAF57DB005C49C777E9C3FAB0C62,"Data & Analytics Engineer At a Glance Data & Analytics Engineer, Ballymena, hybrid working (3 days onsite, 2 days remote) Join a Northern Ireland manufacturer at the start of a major digital transformation Own the design of a modern cloud data platform built around Microsoft Fabric and Snowflake Clear route to Data Architect or Data Lead as the function grows Competitive salary plus a full..."
233ed0b1979d29fe,2026-08-20,2026-08-26,Principal Data Engineer,Pearson Carter,"Reading, Berkshire",True,78000.0,260000.0,GBP,annual,False,,,full_time,2026-07-28,Adzuna,https://www.adzuna.co.uk/jobs/details/5817719372?utm_medium=api&utm_source=jobaggregator,"Principal Data Engineer – Hybrid/Remote - (SC Cleared) THE COMPANY: A leading organisation undergoing a significant digital transformation is looking to appoint a Principal Data Engineer to play a key role in shaping its enterprise data platform and future analytics capabilities. Joining a growing Data & Integration function, you'll work alongside architects, product owners, and engineering teams..."
1232dc50690c60e8,2026-08-20,2026-08-26,Data Engineer - Hybrid - Day Rate,Pearson Carter,"Reading, Berkshire",True,78000.0,260000.0,GBP,annual,False,,contract,full_time,2026-07-28,Adzuna,https://www.adzuna.co.uk/jobs/details/5817719409?utm_medium=api&utm_source=jobaggregator,"Data Engineer – Hybrid/Remote – Competitive Day Rate THE COMPANY: A leading organisation undergoing a major digital transformation is looking to expand its Data & Integration team with the addition of a Data Engineer . This is an exciting opportunity to join a growing data function responsible for building modern cloud-based data platforms that support reporting, business intelligence, analytics,..."
5100c3260e4f3f17,2026-08-20,2026-09-08,Data Engineer,Oliver James,London,False,400.0,500.0,GBP,daily,False,,contract,,2026-07-28,Reed,https://www.reed.co.uk/jobs/data-engineer/57166807,Data Engineer - Data Migration Programme | London (Hybrid) | Contract - up to 500/d (outside IR35) Are you a Data Engineer with hands-on experience delivering enterprise data migration solutions? Our client - a fast-scaling European digital infrastructure provider with 100+ sites across the continent - is looking for a Data Engineer to join a major transformation programme consolidating multiple...
6f840685ae20a5f0,2026-08-20,2026-09-18,Data Engineer,Harnham - Data & Analytics Recruitment,London,False,500.0,600.0,GBP,daily,False,,,,2026-07-28,Reed,https://www.reed.co.uk/jobs/data-engineer/57169326,"Data Engineer Up to 70,000 + Benefits Central London (Hybrid Working) This is a fantastic opportunity to join a purpose-driven organisation where you can take ownership of building and developing a modern cloud-based analytics platform that supports data-driven decision-making across the business. THE COMPANY: Operating at the heart of the music industry, you will be part of an ongoing digital..."
8b46e78f87304547,2026-08-20,2026-09-07,Data Engineer - GCP,Boston Hale,W85SA,False,40000.0,55000.0,GBP,annual,False,,,full_time,2026-07-27,Reed,https://www.reed.co.uk/jobs/data-engineer-gcp/57164520,"Job Title: Data Engineer Location: London (Hybrid 2 days a week) Type: Full-time Agency: Representing a leading digital media group We're representing a well-established digital media company with a growing portfolio of high-traffic content brands. As they expand their data capabilities, they're looking for a Data Engineer to join their London-based team. Key Responsibilities: Design and maintain..."
de2f8d75fd50278d,2026-08-20,2026-09-04,Data Engineering Lead,Adecco,London,False,,,,daily,False,,contract,,2026-07-24,Reed,https://www.reed.co.uk/jobs/data-engineering-lead/57158431,"Data Engineering Lead London/Hybrid 12 months contract Day rate 745 via Umbrella Company Our commitment is to provide equal opportunity regardless of, for example, your gender, age, ethnicity, disability, sexual orientation or beliefs. We also engage with employers to develop programmes and pathways that embrace diverse talent and promote more inclusive employment worldwide through partnerships..."
0f317b012cb95c6d,2026-08-20,2026-08-20,Senior Data Engineer Microsoft Azure data - Huxley,Huxley,"London, UK",False,95082.72,95082.72,GBP,annual,True,Adzuna estimate,permanent,full_time,2026-07-23,Adzuna,https://www.adzuna.co.uk/jobs/details/5812594213?utm_medium=api&utm_source=jobaggregator,"Senior Data Engineer Microsoft Azure data This is a new and exclusive opportunity for a Senior Data Engineer with strengths in Microsoft Azure data to be a key lead in strengthening, evolving, and modernising our core data platforms. Job details Title: Senior Data Engineer Technical Stack: Microsoft Azure data Location: London or Glasgow with 1 day a week in the office Permanent role salary..."
a7c1c1e385a33d24,2026-08-20,2026-08-21,Data Engineer,Tribe Appointments Ltd,"Manchester, Greater Manchester",True,70000.0,70000.0,GBP,annual,False,,,,2026-07-23,Adzuna,https://www.adzuna.co.uk/jobs/details/5812017926?utm_medium=api&utm_source=jobaggregator,"Data Engineer (Microsoft Fabric / Azure) Remote with occassional client site visit Role Overview Were looking for a Data Engineer who loves building modern data platforms and helping organisations turn raw data into real business value. Youll design, develop and optimise data solutions using Microsoft Fabric and Azure , enabling clients to make smarter decisions, modernise legacy estates and..."
